Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,RSI,MACD,Signal_Line,SMA,EMA,Adj Close
24-11-22,64.02,65.3,61.11,64.24,674811,65.02,119.14,163.96,69.04,-4.98,3.04,143.9,184.06,64.24
18-12-22,54.29,55.52,49.46,54.51,418005,138.62,175.06,134.53,30.03,-0.39,-3.43,68.42,79.63,54.51
12-01-24,104.75,106.99,99.97,103.43,967430,88.6,198.71,121.23,42.7,-0.83,-0.62,72.57,194.28,103.43
30-07-19,160.46,162.55,156.75,159.68,155954,186.47,198.45,110.03,49.22,1.02,2.17,157.49,51.64,159.68
20-10-20,101.55,104,96.87,103.95,929639,74.67,58.47,191.06,42.44,4.57,2.31,189.84,87.6,103.95
17-12-23,57.21,60.99,56.67,58.02,916310,107.45,114.97,178.28,54.8,-0.07,0.21,154.47,133.79,58.02
28-10-20,135.78,139.6,135.01,136.21,533056,61.85,143.6,150.48,32.53,-3.2,-0.48,113.65,76.33,136.21
16-04-20,99.46,100.5,97.57,98.3,148285,121.05,182.85,133.04,66.25,-3.76,4.14,82.55,176.46,98.3
26-02-23,67.43,67.94,67.21,67.4,523797,73.47,179.39,182.85,41.97,4.09,4.6,174.44,163.84,67.4
18-10-21,75.14,76.53,73.51,73.97,358913,140.25,172.31,165.76,43.98,3.69,2.33,64.09,83.3,73.97
26-06-20,50.81,53.81,47.8,51.01,268331,115.5,56.85,158.44,31.59,-0.26,-3.56,95.12,188.72,51.01
29-04-22,76.99,80.78,72.13,75.04,238321,92.71,85,189.02,63.02,-0.72,4.07,135.52,68.31,75.04
11-06-21,163.13,166.11,162.05,165.55,628022,136.95,83.48,184.3,42.77,-1.68,-4.38,199.34,126.27,165.55
04-04-21,105.34,106.38,102.61,105.32,338572,183.17,75.22,162.63,60.81,-0.61,0.34,172.56,172.38,105.32
27-06-22,57.2,61.43,56.49,57.53,846227,134.87,184.78,179.27,42.42,-1.66,0.58,92.04,186.17,57.53
24-06-22,98.23,98.71,93.4,96.42,129543,136.62,141.3,147.08,43.36,-1.77,-4.26,139.57,104.6,96.42
28-12-23,91.3,91.97,91.04,91.45,549860,139.71,158.38,76.11,69.26,-2.42,-0.61,144.45,178.98,91.45
24-12-20,185.74,188.58,183.56,186.42,436329,90.55,65.99,157.3,42.23,0.52,-2.09,54.38,93.53,186.42
05-07-23,68.98,73.51,64.99,65.95,403655,164.38,101.56,92.89,56.93,-2.27,4.23,131.45,162.81,65.95
27-04-22,120.35,122.41,119.92,121.85,355660,113.69,113.76,93.4,44.05,0.55,1.43,125.14,193.19,121.85
17-04-21,63.64,66.14,62.34,63.44,943795,91.98,163.6,96.48,47.35,-4.81,3.23,54.71,78.36,63.44
13-09-22,66.08,70.42,61.34,66.35,587123,68.71,142.26,65.65,67.59,-1.7,0.61,148.62,93.65,66.35
12-09-21,78.84,80.99,74.11,80.96,438327,119.75,137.3,146.68,32.87,4.4,3.55,80.49,153.02,80.96
14-04-23,191.31,195.94,190.96,193.01,356553,190.16,91.85,87.3,41.33,0.03,3.62,97.87,94.22,193.01
22-03-22,73.88,77.84,73.19,76.61,680072,173.53,99.01,151.65,37.55,1.3,2.12,81.42,186.19,76.61
26-01-23,134.77,138.37,132.86,133.15,383784,181.21,129.08,87.05,48.27,3.67,1.1,177.63,185.85,133.15
27-10-23,175.52,178.74,172.41,174.52,814710,157.24,123.14,160.34,56.85,-4.38,-1.14,199.99,98.25,174.52
06-03-23,65.04,68.44,63.15,68.35,576348,147.39,199.09,115.27,52.39,2.49,-1.97,55.54,138.93,68.35
31-12-22,80.9,82.5,76.02,77.17,966222,62.21,108.25,152.58,30.3,3.67,0.84,126.95,71.68,77.17
08-07-21,188.41,193.17,187.72,190.21,463487,146.58,108.4,105.24,57.85,4.23,0.86,152.49,124.53,190.21
26-06-19,76.16,79.27,74.99,75.59,319207,107.65,108.46,122.59,69.2,3.75,-3.08,80.55,152.07,75.59
06-06-21,129.86,131.26,125.03,129.65,713885,81.17,73.75,174.68,41.4,1.2,0.46,84.45,190.16,129.65
25-05-21,58.97,60.67,55.11,56.51,748270,196.41,129.1,97.62,51.09,-3.08,-4.48,127.24,93.62,56.51
07-04-23,139.2,141.73,136.27,140.87,357006,186.41,132.01,136.12,34.57,-3.78,0.1,93.87,71.72,140.87
09-08-19,132.22,134.68,131.69,133.75,250879,118.04,193.39,159.24,65.28,4.66,2.81,115.62,169.26,133.75
29-06-22,107.34,107.77,106.26,107.16,354239,128.3,198.11,113.68,49.46,-2.8,4.15,183.78,147.62,107.16
07-10-23,81.08,83.59,76.26,82.82,872995,155.11,170.44,102.44,69.1,4.47,-2.56,177.85,51.11,82.82
29-09-23,124.06,124.96,123.54,124.11,291357,142.72,113.7,53.23,49.56,0.55,-3.32,176.3,178.45,124.11
23-11-23,78.47,80.45,76.27,79.21,130620,125.12,196.42,179.94,42.08,3.94,-4.22,197.79,154.91,79.21
12-02-22,107.55,108.87,107.12,108.04,288249,125.9,143.42,159.69,32.13,-1.06,-0.52,116.6,141.53,108.04
11-07-23,121.92,123.26,120.74,122.36,196418,107.88,181.85,149.5,34.67,2.24,-4.12,95.62,174.09,122.36
28-03-23,96.91,99.61,92.22,96.01,222622,78.51,125.79,149.71,53.21,0.75,3.23,81.41,163.01,96.01
14-04-20,160.32,162.29,158.98,159.34,696762,90.65,158.28,153.25,35.76,4.52,1.86,50.33,137.46,159.34
20-12-23,111.32,113.68,107.23,112.47,236735,127.72,160.17,51.59,64.76,-0.76,2.38,81.19,142.16,112.47
20-06-20,80.59,83.74,76.79,79.47,106023,111.37,150.22,59.99,36.03,2.67,0.94,116.23,157.9,79.47
04-02-23,168.86,170.22,165.34,166.28,362874,126.53,126.38,186.04,64.73,-1.81,4.24,144.93,102.52,166.28
20-12-20,96.2,99.38,92.66,96.67,699053,197.47,183.75,119.39,53.34,-3.53,-3.14,107.01,197.37,96.67
29-02-20,118.38,119.92,117.23,118.78,472988,136.48,70.16,66.13,47.35,-0.04,2.18,184.3,84.14,118.78
31-12-20,88.04,91.57,84.03,86.88,503504,110,77.35,56.36,64.55,-3.69,0.28,185.5,190.72,86.88
05-12-21,103.32,107.58,99.75,100.58,840426,161.81,68.52,86,56.08,-3.79,4.43,199.95,77.17,100.58
19-06-19,145.91,149.3,142.29,147.97,423526,161.86,147.36,111.07,54.38,-0.87,1.93,196.6,76.01,147.97
06-04-23,50.09,55.07,47.89,51.47,644822,116.6,132.34,68.76,43.33,1.54,1.67,95.82,197.65,51.47
29-08-19,137.68,139.84,132.89,139.24,566212,75.31,152.38,157.45,35.9,-3.32,-1.01,63.67,191.09,139.24
15-11-19,66.6,68.11,62.44,66.37,347215,62.89,56.84,94.57,54.99,1.49,-0.97,180.59,123.07,66.37
07-04-20,137.56,139.22,134.75,135.57,922869,164.94,183.68,114.05,33.12,3.02,-3.93,171.38,181.36,135.57
26-11-21,139.07,140.42,134.6,139.59,267601,171.94,184.12,118.43,50.78,-1.24,-3.1,120.69,108.29,139.59
01-06-19,187.91,188.46,185.8,187.61,471416,94.06,104.4,120.08,43.41,4.23,3.92,133.56,125.29,187.61
09-08-23,79.37,79.76,76.94,78.87,435400,178.49,93.49,88.46,40.97,-2.07,-0.41,187.85,180.78,78.87
10-01-21,78.05,81.23,74.23,80.08,697712,107.46,183.04,72.06,42.27,3.41,-1.17,179.9,186.82,80.08
23-02-23,97.11,100.69,94.96,97.27,833873,125.72,139.04,139.94,66.43,0.17,-2.78,60.42,125.3,97.27
16-11-20,188.42,189.11,188.14,188.81,471311,89.24,127.56,190.01,44.47,3.83,-2.47,129.24,63.29,188.81
19-10-22,183.05,185.29,181.95,183.14,335597,138.24,145.71,53,57.87,-0.26,1.51,71.56,97.95,183.14
24-07-19,148.93,152.92,148.88,151.1,885653,182.25,50.46,157.5,41.18,3.49,1.36,184.42,55.03,151.1
11-05-21,185.22,186.48,184.52,185.05,793799,192.25,180.53,188.23,46.98,-2.03,2.18,110.33,90.79,185.05
02-07-20,189.42,194.07,186.72,192.67,425329,67.94,94.68,149.2,50.91,-1.13,4.56,60.6,192.95,192.67
06-07-20,163.93,166.03,162.55,165.9,630967,105.96,161.97,90.99,44.5,-2.56,2.63,100.26,111.81,165.9
10-12-22,92.15,92.88,89.46,92.13,965993,83.34,169.11,59.3,38.04,4.11,-3.82,98.26,195.3,92.13
01-01-22,156.05,158.89,153.02,153.06,976046,103.08,152.23,79.07,36.63,-0.78,-0.72,198.73,61.9,153.06
30-04-23,157.19,158.35,154.16,158.17,943375,193.16,184.45,179.11,32.42,2.81,0.2,165.44,71.7,158.17
25-06-21,94.41,97.33,94.4,96.71,272847,105.78,117.52,197.89,31.7,-0.54,1.12,80.11,52.47,96.71
26-11-23,66.32,69.9,64.03,68.37,835948,199.41,184.27,132.33,67.97,4.41,4.54,152.31,185.2,68.37
29-01-20,120.73,121.4,119.87,120.29,786151,50.99,167.77,58.32,38,4.04,1.82,142,72.25,120.29
30-09-20,61.64,64.45,59.53,59.84,924873,162.61,178.91,191.68,34.57,4.65,0.06,52.76,130.1,59.84
05-11-19,157.54,159.2,155.79,158.45,810837,85.34,82.93,65.47,65.86,-4.6,3.84,105.52,88.64,158.45
08-03-23,122.44,126.81,119.13,124.06,861168,154.52,59.85,59.77,42.49,-2.25,-2.3,84.63,183.66,124.06
07-03-19,82.33,86.38,80.61,84.84,690325,50.24,165.51,73.77,44.4,1.96,-0.05,89.98,163.58,84.84
20-06-23,88.06,92.53,85.41,88.26,807532,117.51,168.03,89.37,64.96,-4.39,-0.31,84.62,179.47,88.26
27-10-22,165.51,167.55,162.95,167.45,523429,112.87,150.16,196.16,37.99,2.87,-4.3,159.39,151.2,167.45
20-12-19,188.71,191.9,185.87,191.17,461618,94.53,59.9,183.44,31.53,2.5,-1.16,150.15,155.02,191.17
28-10-20,143.07,147.38,141.92,143.11,811489,95.73,167.42,66.67,52.05,-0.74,-0.7,154.42,174.82,143.11
14-03-20,83.49,87.46,78.59,80.11,518710,98.29,92.42,165.17,33.31,1.45,-3.64,118.83,68.22,80.11
27-01-23,79.33,79.45,77.31,77.96,100449,107.94,119,139.58,44.03,2.38,3.66,58.96,136.28,77.96
13-02-21,191.97,192.39,189.05,190.52,160839,172.29,97.5,169.62,49.38,-1.9,-1.63,61.67,86.43,190.52
09-03-23,186.28,190.41,185.21,190.19,935020,152.99,156.23,132.42,50.07,0.04,4.38,115.62,115.59,190.19
04-07-23,124.31,128.59,119.41,127.6,158195,115.72,154.08,156.63,68.54,2.96,2.65,108.95,158.42,127.6
24-04-19,144.49,147.63,141.9,143.24,135551,121.16,95.49,84.23,35.85,2.01,4.83,75.93,172.09,143.24
06-02-20,169.9,174.37,168.43,169.08,431589,174.5,56.41,179.14,57.47,-1.18,3.24,109.52,126.58,169.08
08-10-23,198.67,199.36,198.29,198.42,665698,185.19,183.43,149.66,66.81,2.75,-3.55,63.26,157.32,198.42
10-04-23,162.22,164.07,160.27,163.48,538473,165.69,160.98,161.42,45.79,-4.83,3.6,139.15,188.95,163.48
03-10-21,107.99,109.61,107.63,108.8,767961,55.96,172.26,111.54,62.96,-2.84,-2.53,104.17,156.07,108.8
13-08-22,96.33,97.86,93.65,96.77,465291,87.44,96.71,103.88,63.05,1.98,4.46,157.55,138.44,96.77
08-07-19,94.36,94.69,89.4,93.66,566437,146.76,159.49,155.61,55.16,3.57,4.49,174.52,190.78,93.66
19-03-21,129.32,134.26,126.94,131.04,592185,64.4,82.28,127.26,38.33,-3.06,-1.36,188.18,97.18,131.04
13-07-20,145.02,147.76,141.58,143.92,482002,199.01,68.91,196.69,42.79,-4.73,-4.29,115.74,147.42,143.92
16-12-22,143.8,146.51,143.72,146.08,827225,51.51,124.43,195.43,51.84,-1.18,4.36,55.02,189.83,146.08
16-05-19,64.46,65.3,64.21,64.3,277640,139.3,114.48,196.64,49.7,2.28,2.08,141.14,194.14,64.3
17-04-22,198.58,199.56,194.56,198.94,659567,163.4,118.8,69.09,65.08,-2.89,3.5,176.99,120.52,198.94
22-04-22,129.3,131.95,128.93,130.4,613951,107.34,124.99,90.55,36.22,3.28,-3.48,125.88,197.81,130.4
09-02-23,109.49,112.58,105.51,107.39,539920,160.5,164.8,111.13,41.21,4.52,-1.92,65.12,152.58,107.39
17-06-20,195.74,199.44,195.01,198.81,113298,190.81,151.51,102.64,45.59,2.48,-2.29,177.13,65.88,198.81
08-10-19,69.63,74.55,66.72,73.53,499273,115.36,149.54,91.36,47.23,-3.79,-0.4,123.32,109.52,73.53
16-09-19,159.5,163.32,159.2,161.91,391750,71.4,68.89,170.34,55.76,-1.68,-1.06,118.41,63,161.91
20-06-19,152.9,155.19,148.48,154.05,851222,158.44,96.75,156.86,38.44,4.64,-1.4,143.91,177.71,154.05
17-12-23,72.01,75.01,71.89,74.29,775957,128.02,131.09,149.67,46.98,0.81,-4.34,110.17,179.31,74.29
22-09-19,199.59,203.07,198.58,200.42,848826,138.42,141.68,142.13,42.61,0.15,-2.3,121.5,57.07,200.42
14-05-19,159.31,162.66,158.99,161.14,638991,78.24,94.28,173.41,48.78,-2.21,2.83,96.59,138.03,161.14
23-06-21,188.07,189.05,185.95,188.29,759298,53.23,186.32,89.9,51.72,3.01,-1.93,151.97,114.41,188.29
11-11-19,90.78,90.81,87.97,90.28,595153,147.53,56.97,62.01,64.71,2.23,-3.46,193.64,58.26,90.28
29-08-22,137.2,137.39,136.6,137.31,883310,116.47,98.51,141.72,50.93,-3.18,-3.03,94.66,104.59,137.31
16-09-22,191.96,195.93,187.52,195.2,369751,194.56,121.6,197.02,69.93,-2.97,0.56,178.32,182.55,195.2
09-08-19,182.78,185.36,179.13,180.85,777262,175.13,163.93,184.04,57.41,-4.51,3.81,109.05,134.02,180.85
16-04-23,53.91,55.24,53.75,54.61,575475,180.4,65.79,173.42,65.63,4.7,3.58,52.84,132.91,54.61
24-03-19,150.71,154.74,149.09,153.56,680655,126.13,133.26,168.24,50.07,-3.32,0.35,51.18,199.18,153.56
09-05-19,120.82,121.03,120.78,120.91,476249,123.35,166.82,81.41,43.15,-3.71,0.01,96.26,140.37,120.91
11-03-21,110.62,111.45,109.54,110.05,944524,112.19,164.14,53.06,63.78,-0.76,-2.1,79.13,76.79,110.05
01-02-23,188.24,191.93,185.26,189.55,372481,129.47,144.64,104.62,65.4,-3.91,-2.44,133.37,161.36,189.55
17-04-21,92.71,95.35,88.73,91.49,680625,130.75,198.35,167.5,69.65,-0.66,-4.27,135.01,165.49,91.49
13-12-22,158.47,159.74,157.63,159.2,343382,133.81,100.13,184.29,44.84,-1.32,0,138.63,96.97,159.2
15-08-20,140.89,141.36,138.97,140.81,851902,76.49,145.35,172.44,41.72,-0.2,-3.85,97.81,109.38,140.81
28-07-21,72.61,76.98,69.37,76.39,674922,66.48,77.1,65.34,40.14,-4.44,1.5,184.83,128.97,76.39
18-05-23,167.16,167.34,166.18,167.31,579368,117.81,88.49,83.91,53.64,-1.79,4.62,106.93,187.34,167.31
13-07-22,149.75,150.58,147.28,149.39,306685,105.83,145.16,178.29,53.32,-3,0.06,94.65,188.61,149.39
30-06-23,99.74,103.41,97.35,98.01,123065,177.19,50.28,106.42,65.92,0.52,-0.81,138.16,166.48,98.01
19-05-22,189.13,191.77,184.46,185.23,364553,186.54,91.3,101.26,42.89,2.73,2.41,152.16,100.3,185.23
26-02-23,116.37,116.47,115.68,116.14,216040,150.75,136.81,52.26,61.63,-1.32,-0.52,146.13,67.94,116.14
01-10-23,167.77,169.63,167.09,169.03,656251,118.73,185.84,178.86,53.47,-4.41,3.38,154.3,143.2,169.03
22-05-23,197.65,200.1,192.77,195.2,690970,147.36,99.04,177.31,58.27,-0.59,1.45,78.57,126.65,195.2
14-03-23,127.72,128.51,123.04,125.22,772266,168.43,66.76,85.24,65.1,2.35,-1.64,188.89,131.58,125.22
15-10-21,171.96,173.65,170.78,173.11,291985,56.56,173.43,183.99,57.94,-1.23,2.87,80.8,152.73,173.11
29-03-22,52.49,57.17,47.95,51.35,511465,79.6,176.97,159.31,54.63,1.02,-1.19,109.57,191.99,51.35
14-02-22,96.62,101.15,95.39,99.08,349086,150.38,92.91,117.26,30.92,-0.39,-4.77,64.24,59.43,99.08
03-10-21,148.2,150.64,147.79,149.34,301647,76.35,118.82,149.51,33.63,1.81,1.05,112.28,120.83,149.34
11-04-20,89.47,89.94,89.01,89.71,951101,107.97,197.34,148.81,69.29,1.67,2.54,58.13,171.3,89.71
05-02-19,60.72,61.14,57.26,58.37,367483,193.94,187.04,103.13,58.31,-3.47,-0.51,116.67,142.15,58.37
19-06-22,182.12,185.04,178.5,180.65,223771,148.04,160.01,142.26,59.77,-1.88,-0.18,169.38,151.87,180.65
10-09-22,70.53,74.29,67.12,73.44,312150,198.95,100.61,85.43,63.28,4.35,-4.95,116.32,67.3,73.44
24-02-21,85.09,89.97,83.5,87.96,377428,139.55,188.25,156.52,59.18,-3.5,-0.37,71.42,168.53,87.96
11-05-23,155.91,160.8,152.59,159.44,545200,69.42,161.67,162.2,67.99,-2.93,0.26,141.67,176.64,159.44
13-08-19,126.36,129.62,125.07,126.34,197047,150.13,136.69,191.8,43.32,1.73,3.67,184.54,63.06,126.34
01-07-22,78.22,80.24,77.34,80.11,571352,148.82,66.46,95.03,34.5,-1.29,4.53,62.35,82.83,80.11
15-11-19,70.72,74.46,70.28,72.63,536506,94.73,159.08,104.54,66.44,-0.06,1.34,157.11,195.15,72.63
